fecha,hora,indicativo,humedad_media,temperatura_media,anho,mes,dia
2019-01-01,0,102,50.0,3.1,2019,1,1
2019-01-01,1,102,49.0,2.9,2019,1,1
2019-01-01,2,102,46.0,3.1,2019,1,1
2019-01-01,3,102,51.0,1.9,2019,1,1
2019-01-01,4,102,56.0,0.7,2019,1,1
2019-01-01,5,102,53.0,0.5,2019,1,1
2019-01-01,6,102,55.0,0.0,2019,1,1
2019-01-01,7,102,60.0,-0.8,2019,1,1
2019-01-01,8,102,56.0,0.0,2019,1,1
2019-01-01,9,102,48.0,2.2,2019,1,1
2019-01-01,10,102,47.0,3.1,2019,1,1
2019-01-01,11,102,39.0,5.5,2019,1,1
2019-01-01,12,102,34.0,7.8,2019,1,1
2019-01-01,13,102,31.0,10.1,2019,1,1
2019-01-01,14,102,33.0,10.4,2019,1,1
2019-01-01,15,102,30.0,11.9,2019,1,1
2019-01-01,16,102,35.0,10.1,2019,1,1
2019-01-01,17,102,38.0,8.5,2019,1,1
2019-01-01,18,102,39.0,7.7,2019,1,1
2019-01-01,19,102,43.0,7.1,2019,1,1
2019-01-01,20,102,47.0,6.6,2019,1,1
2019-01-01,21,102,49.0,5.8,2019,1,1
2019-01-01,22,102,54.0,4.1,2019,1,1
2019-01-01,23,102,55.0,3.4,2019,1,1
2019-01-02,0,102,60.0,2.3,2019,1,2
2019-01-02,1,102,61.0,1.8,2019,1,2
2019-01-02,2,102,63.0,0.9,2019,1,2
2019-01-02,3,102,69.0,-0.2,2019,1,2
2019-01-02,4,102,70.0,-1.1,2019,1,2
2019-01-02,5,102,72.0,-1.6,2019,1,2
2019-01-02,6,102,68.0,-0.9,2019,1,2
2019-01-02,7,102,73.0,-2.3,2019,1,2
2019-01-02,8,102,68.0,-1.4,2019,1,2
2019-01-02,9,102,61.0,0.1,2019,1,2
2019-01-02,10,102,55.0,1.4,2019,1,2
2019-01-02,11,102,46.0,4.2,2019,1,2
2019-01-02,12,102,42.0,6.1,2019,1,2
2019-01-02,13,102,33.0,9.1,2019,1,2
2019-01-02,14,102,30.0,10.6,2019,1,2
2019-01-02,15,102,30.0,11.7,2019,1,2
2019-01-02,16,102,29.0,11.5,2019,1,2
2019-01-02,17,102,32.0,9.9,2019,1,2
2019-01-02,18,102,34.0,8.7,2019,1,2
2019-01-02,19,102,36.0,8.2,2019,1,2
2019-01-02,20,102,40.0,7.4,2019,1,2
2019-01-02,21,102,43.0,5.4,2019,1,2
2019-01-02,22,102,45.0,4.6,2019,1,2
2019-01-02,23,102,48.0,3.9,2019,1,2
2019-01-03,0,102,52.0,3.0,2019,1,3
2019-01-03,1,102,52.0,2.8,2019,1,3
2019-01-03,2,102,56.0,2.0,2019,1,3
2019-01-03,3,102,53.0,2.0,2019,1,3
2019-01-03,4,102,51.0,1.6,2019,1,3
2019-01-03,5,102,56.0,0.6,2019,1,3
2019-01-03,6,102,56.0,0.8,2019,1,3
2019-01-03,7,102,51.0,0.6,2019,1,3
2019-01-03,8,102,47.0,0.5,2019,1,3
2019-01-03,9,102,48.0,1.8,2019,1,3
2019-01-03,10,102,43.0,3.9,2019,1,3
2019-01-03,11,102,38.0,6.1,2019,1,3
2019-01-03,12,102,33.0,7.8,2019,1,3
